,XMEAS1,XMEAS2,XMEAS3,XMEAS4,XMEAS5,XMEAS6,XMEAS7,XMEAS8,XMEAS9,XMEAS10,XMEAS11,XMEAS12,XMEAS13,XMEAS14,XMEAS15,XMEAS16,XMEAS17,XMEAS18,XMEAS19,XMEAS20,XMEAS21,XMEAS22,XMV1,XMV2,XMV3,XMV4,XMV6,XMV7,XMV8,XMV10,XMV11
1,0.271032874,3649.739415,4451.320791,9.22314238,32.39289976,47.55975363,2798.975799,64.99582452,122.8987964,0.197826456,91.99326726,49.97086028,2703.521071,25.25755863,49.68186732,3330.810326,22.88620734,66.62830284,0,272.7821772,102.4800282,92.26253071,62.8069839,53.28670886,26.66217256,60.48285399,24.22930091,37.20819813,46.4305264,35.86532151,12.93064205
2,0.270825813,3653.341885,4488.64014,9.211980351,32.50195264,47.37485489,2800.296214,65.09125089,122.877519,0.196091666,91.99681577,49.5483745,2705.228515,25.29139481,49.37719666,3332.707521,22.82912007,66.61521586,-0.311244295,273.0519781,102.4944297,92.49269681,62.81932359,53.22032442,26.68954353,60.52464375,24.17176251,37.2274313,46.42719219,35.71917739,11.71442283
3,0.270473695,3688.113265,4432.832766,9.235689935,32.40283774,47.81708828,2802.647777,64.81236318,122.9161651,0.204023066,91.99508546,48.70469579,2706.580147,25.38417319,48.78226358,3334.616162,22.70296448,66.60561313,-0.017903683,272.8409533,102.5087857,92.36855031,62.83683513,53.21179745,26.70550668,60.54619285,25.17902163,37.24376613,46.44254404,35.74071495,10.73467566
4,0.272127246,3651.680041,4459.26894,9.192008981,31.87679001,47.86924855,2803.693084,64.20541708,122.8924934,0.220561168,92.05677586,51.35522064,2707.918915,25.20961963,49.66092452,3336.068215,23.0293167,66.62635046,-1.068935006,272.6587069,102.5128984,92.31070497,62.84819014,53.18688472,26.76865328,60.56858821,26.92272925,37.2116983,46.40749725,35.73615379,10.31178292
5,0.27093927,3636.329271,4460.409756,9.277991541,32.42475444,47.50932233,2804.787223,64.59862288,122.8905138,0.236146362,91.95412144,49.57239903,2708.721832,25.12533765,50.00549654,3337.400129,22.90919472,66.59440876,-0.241205042,272.5419084,102.5223663,92.21583887,62.84834068,53.19227099,26.39677321,60.63759763,29.03960469,37.19951735,46.4240341,35.89071568,11.18138048
6,0.273198942,3645.401613,4460.435093,9.203610439,32.24937468,47.61987085,2805.797684,66.01759734,122.9066361,0.251529262,92.07929443,50.02546784,2710.112831,25.36020737,47.68265996,3338.783041,22.78050872,66.57293681,-1.318035666,272.8738472,102.5287986,92.51758533,62.84919257,53.19107591,26.88410112,60.6394739,31.2386033,37.19778272,46.41536472,35.95875549,14.1438941
7,0.269753246,3659.930443,4471.924454,9.305495617,32.3328042,47.00740078,2805.598617,65.26400349,122.8924502,0.277478507,91.99335954,50.48509872,2709.675069,25.14977699,50.5734483,3338.15134,22.92623246,66.58767746,1.578116741,272.6513186,102.5385852,92.27228386,62.93696067,53.03894385,26.64128861,60.60173374,33.96975527,37.18984137,46.41086274,35.79293543,13.64819531
8,0.274123295,3646.159426,4426.158894,9.276590763,32.58029509,47.50841255,2806.711723,65.92950957,122.8859744,0.295394704,92.14406888,48.90750972,2710.668469,25.25863016,48.26982379,3339.180761,22.77756768,66.59220976,-0.131203478,272.5470679,102.5270491,92.45476328,63.02010021,52.95826725,27.10793712,60.63550275,36.25452897,37.17550159,46.40372245,35.92259111,11.77031123
9,0.271340579,3601.984034,4440.575467,9.20752441,32.2991715,47.54135223,2804.865752,65.85187164,122.9047686,0.311164263,92.0531952,49.89596446,2708.687172,25.11936019,48.91041726,3337.447489,23.0999274,66.59822058,-1.342736802,272.2385084,102.5536186,92.54873613,63.03191188,52.95474911,26.74344498,60.71399149,38.29626526,37.19154426,46.40302992,35.72819999,10.18572947
10,0.277464826,3647.617543,4411.863982,9.231159369,32.21722563,47.41318046,2804.199605,64.88605894,122.9107582,0.323351305,92.19338407,49.09539499,2709.54852,25.31633231,47.88223566,3337.665238,22.93367071,66.64830172,-2.44355127,272.1472215,102.5691359,92.64448105,63.03969279,52.97752655,27.22555025,60.55952045,39.96766702,37.14128961,46.38045839,35.75557587,12.39375223
11,0.272660093,3661.700152,4417.368793,9.200299911,32.07919498,47.16994393,2803.840906,63.6760059,122.8952648,0.333162695,92.14530091,49.69447349,2707.698204,25.25061095,50.52086384,3335.682563,23.0023997,66.68254185,0.598679074,271.793505,102.5677857,92.60599715,63.03530497,53.01954131,26.86015386,60.6271142,41.36786573,37.14524764,46.41689891,35.73558504,12.05725493
12,0.272379418,3661.592377,4455.813278,9.185217159,31.83790316,47.33396653,2802.984814,64.26796693,122.8901629,0.345561121,92.19344273,47.31441169,2707.247583,25.15861897,49.42465752,3334.766436,22.91508462,66.69023632,1.246273834,271.7693629,102.5948518,92.69968022,62.93410173,53.17022555,26.83586989,60.63700901,42.38455242,37.1358433,46.37175359,35.76213665,13.87062829
13,0.266741712,3671.419606,4452.826054,9.273204604,31.76075839,47.19162481,2802.283736,64.36370167,122.8863357,0.352997893,92.11534349,49.2768077,2706.648109,25.10400054,48.56594536,3334.351548,22.96925691,66.69661405,-0.516503731,271.6348962,102.6087828,92.46689428,62.87076574,53.22011183,26.29301282,60.75775081,43.27243731,37.12329226,46.37638536,35.5029142,12.33208782
14,0.268617003,3657.769628,4438.394032,9.258374125,32.03246621,46.94047159,2802.720775,64.80480113,122.9114377,0.358574425,92.17938881,50.0523663,2706.217029,25.1087972,47.52257332,3334.157289,22.92528453,66.69855629,-0.05440514,271.6306141,102.6127774,92.3626055,62.87446536,53.20244075,26.50572143,60.6530153,44.06869962,37.11338951,46.34728617,35.62585856,8.614243238
