INDEX,VA1,VA2,VA3,VA4,VA5,VA6,VA7,VA8,VA9,VA10,VA11,VA12,VA13,VA14,VA15,VA16,VA17,VA18,VA19,VA20,VA21,VA22,VA23,VA24,VA25,VA26,VA27,VA28,VA29,VA30,VA31,VA32,VA33,VA34,VA35,VA36,VA37,VA38,VA39,VA40,VA41,VA42,VA43,VA44,VA45,VA46,VA47,VA48,VA49,VA50
2/8/2016 0:00,0.271032874,3649.739415,4451.320791,9.22314238,32.39289976,47.55975363,2798.975799,64.99582452,122.8987964,0.197826456,91.99326726,49.97086028,2703.521071,25.25755863,49.68186732,3330.810326,22.88620734,66.62830284,0,272.7821772,102.4800282,92.26253071,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.8069839,53.28670886,26.66217256,60.48285399,24.22930091,37.20819813,46.4305264,35.86532151,12.93064205
2/8/2016 1:00,0.270830837,3653.404787,4488.749834,9.212394662,32.50340579,47.38845355,2799.619582,65.09759308,122.883494,0.195042663,91.99223259,49.5512234,2704.599836,25.29213469,49.3591974,3331.981705,22.82749013,66.622703,-0.311244295,273.0796712,102.4672402,92.4933965,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.82043517,53.22166914,26.69004743,60.52740124,24.0352095,37.22930149,46.43170308,35.79592178,11.71727409
2/8/2016 2:00,0.270482953,3688.231984,4433.015687,9.236161894,32.40846963,47.8362413,2800.848255,64.82725151,122.9208035,0.197603783,91.98415726,48.71737649,2704.858745,25.3856724,48.7523639,3332.608615,22.70156337,66.61566464,-0.017903683,272.9231347,102.4698169,92.35935915,32.01000564,14.98683741,18.81333246,5.947932031,17.20475513,4.032429124,32.88292756,21.70397222,13.41222528,0.870422174,15.96652237,5.396965488,6.612779531,3.221068635,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334,62.8388916,53.21399592,26.70642154,60.54928038,24.37254376,37.24781046,46.4524445,35.84058866,10.74537386
2/8/2016 3:00,0.272137941,3651.819407,4459.462199,9.19242063,31.8895855,47.89388246,2800.819372,64.22868109,122.8964133,0.204403014,92.03873969,51.39012588,2705.153997,25.21259516,49.62537628,3332.823311,23.02819966,66.63706228,-1.068935006,272.8130468,102.4640069,92.28992949,32.14561185,14.98804598,18.56921507,5.920816605,16.76756766,4.052452131,32.80572687,21.54631956,13.256687,0.908844161,16.46626073,5.399103012,6.682414916,3.228715034,0.014208177,0.588006423,0.178238359,53.67919866,44.49420091,62.8505918,53.18919668,26.76970616,60.57127761,24.91124276,37.2188946,46.42124425,35.85731176,10.33111863
2/8/2016 4:00,0.271177286,3636.475344,4460.599294,9.275408802,32.448601,47.5400157,2800.969862,64.63103921,122.8940498,0.206725474,91.92753876,49.64195785,2705.045051,25.1310901,49.97182626,3333.057909,22.90812604,66.60640259,-0.241205042,272.7909986,102.4642626,92.18309873,31.6196989,14.84123388,18.84459127,5.909966993,16.81757327,4.089848784,32.57254365,21.76059877,13.65654955,0.932877438,15.74904957,5.375582916,6.677621633,3.292658343,0.014208177,0.588006423,0.178238359,53.67919866,44.49420091,62.85085638,53.19453942,26.42046189,60.62057525,25.39236115,37.21173181,46.44090249,36.03229169,11.21020891
2/8/2016 5:00,0.27369388,3645.551314,4460.622727,9.19860528,32.28709668,47.6589537,2801.263819,66.0611893,122.9102205,0.206352321,92.04137342,50.14245674,2705.749394,25.37010809,47.66031832,3333.608154,22.77952258,66.58582611,-1.318035666,273.2342956,102.4609882,92.47141565,32.36636022,14.84448576,18.8476139,5.839428967,16.96782522,4.061410868,32.66243377,21.51655661,13.74207807,1.214165117,16.08090515,5.389199289,6.701103644,3.298678827,0.005345072,0.577981738,0.189897872,52.61156186,43.10068556,62.85176919,53.19332102,26.93309476,60.60658022,25.64630474,37.21700805,46.43547689,36.12303121,14.18218595
2/8/2016 6:00,0.270525571,3660.085376,4472.090571,9.298060683,32.38774764,47.05786423,2800.627443,65.32190015,122.8961016,0.215163052,91.94100113,50.66193258,2704.899229,25.16516051,50.573421,3332.465218,22.92542236,66.59981853,1.578116741,273.143377,102.4605516,92.21201485,31.78035424,14.87242922,18.99515177,5.893586835,16.57466623,4.0949498,32.43238727,21.55615222,13.10339757,0.917348552,15.92749833,5.362739754,6.591716265,3.275758358,0.005345072,0.577981738,0.189897872,52.61156186,43.10068556,62.93962664,53.04092629,26.71759286,60.55290027,26.26438103,37.21805235,46.43456176,35.9807341,13.69918116
2/8/2016 7:00,0.275115369,3646.308192,4426.29878,9.266843665,32.65558267,47.57362499,2801.58279,66.00486424,122.8897206,0.215773461,92.07321538,49.15735392,2705.751852,25.28085882,48.30445401,3333.305505,22.77703926,66.60093275,-0.131203478,273.1893007,102.4386431,92.38170834,31.98062796,15.03717035,18.58410548,5.888435934,16.65130365,4.040926791,32.94072258,21.68434776,13.2613718,0.874085345,16.1125142,5.410045499,6.641996645,3.301721881,0.005345072,0.577981738,0.189897872,52.61156186,43.10068556,63.02265543,52.95993334,27.20578696,60.57150791,26.40515511,37.21478849,46.43148575,36.13451977,11.83401603
2/8/2016 8:00,0.27254439,3602.143952,4440.609444,9.195394113,32.39739901,47.62445409,2799.831482,65.94735708,122.9082941,0.214894512,91.96000599,50.23149488,2703.870757,25.14979182,48.9937077,3331.672522,23.09982188,66.60089351,-1.342736802,273.047351,102.4554725,92.46271299,31.87087396,14.87310527,19.07591363,5.918052451,16.270879,4.057462835,32.55931335,21.71151264,13.42299298,0.839122424,16.43589441,5.395690164,6.696162035,3.263847843,0.005246109,0.584484743,0.184525054,53.16166193,43.68814929,63.03467526,52.95511227,26.86211608,60.63434849,26.3886871,37.24401551,46.43549682,35.96151864,10.26308271
2/8/2016 9:00,0.278745227,3647.786436,4411.75811,9.216857294,32.34027706,47.51677723,2799.464828,65.00308668,122.9141166,0.211967002,92.07494607,49.52992575,2705.028269,25.35642168,48.02999115,3332.22425,22.9341756,66.64208481,-2.44355127,273.1339676,102.4617556,92.547901,32.38313104,14.97020829,18.82545631,6.091565061,16.70417087,4.035724864,32.9131184,21.92927585,13.33466498,0.865913815,16.39624549,5.40756658,6.661992974,3.273142919,0.005246109,0.584484743,0.184525054,53.16166193,43.68814929,63.04259508,52.9762256,27.35158601,60.46565321,26.17615309,37.20910142,46.41831039,36.00963488,12.48509028
2/8/2016 10:00,0.273989801,3661.841081,4417.137321,9.18368224,32.22825165,47.29583579,2799.55232,63.81458363,122.898102,0.208442245,92.00006054,50.24002835,2703.609859,25.30177761,50.75093759,3330.740106,23.00369549,66.66573546,0.598679074,272.9664431,102.4526948,92.49976718,32.26650861,15.10495874,18.90355526,6.04496078,16.41484775,4.067687551,32.31790363,21.7697571,13.81810237,1.035410685,16.036284,5.386592846,6.631649713,3.27248436,-0.003495493,0.565279651,0.183932199,54.33879076,44.10521712,63.03771298,53.01673581,26.99100843,60.51804906,25.91763137,37.23049548,46.46092137,36.00554201,12.16463943
2/8/2016 11:00,0.273630726,3661.770447,4455.237704,9.166453512,32.01323575,47.48339528,2799.234989,64.42631927,122.8925439,0.2097315,92.02048794,47.98265032,2703.675682,25.22215796,49.75683555,3330.427262,22.9174459,66.66168548,1.246273834,273.1302885,102.4732609,92.58639378,32.30019127,14.70764934,18.48039259,5.982756119,16.7234827,4.072296864,32.73502745,21.66093288,13.36603755,0.881138174,15.6031075,5.43205078,6.654941423,3.230864357,-0.003495493,0.565279651,0.183932199,54.33879076,44.10521712,62.93716584,53.16325716,26.95885908,60.51385017,25.54137262,37.2403601,46.42273788,36.04562536,13.99176632
2/8/2016 12:00,0.267858498,3671.564745,4451.97963,9.252188909,31.96240713,47.36485942,2799.113372,64.5385517,122.8881841,0.208134769,91.91603605,50.07719492,2703.628016,25.18120184,49.02185464,3330.656895,22.97291485,66.65649817,-0.516503731,273.1850162,102.4823036,92.35029336,32.33776654,14.91625862,18.91829854,5.933508077,16.58322589,4.022156258,32.49121176,21.84737042,13.35902903,0.929371667,15.97708041,5.341079274,6.609294482,3.281902546,-0.003495493,0.565279651,0.183932199,54.33879076,44.10521712,62.87323869,53.20990978,26.402704,60.61979905,25.29812991,37.2487937,46.43513842,35.79614701,12.46783072
2/8/2016 13:00,0.269407093,3657.89409,4437.122464,9.235356458,32.25956424,47.1371564,2800.132491,64.99160584,122.9128947,0.206837507,91.95623644,50.99255936,2703.748713,25.20071516,48.12543345,3331.107992,22.93056347,66.6475135,-0.05440514,273.3649375,102.4827039,92.24725737,32.11349806,14.78060339,19.03367916,5.928295695,16.45297066,4.064544927,32.60789783,21.73604851,12.88900142,0.889167747,16.36203517,5.402492284,6.597615595,3.271315049,0.011583803,0.571565138,0.190213022,53.73006821,44.75555407,62.87661269,53.18707244,26.58304061,60.50194032,25.21837322,37.26112018,46.41455475,35.9265483,8.763700984
2/8/2016 14:00,0.273803328,3634.096209,4429.191052,9.156974386,32.73268447,47.84064669,2800.462268,65.14858019,122.9053315,0.208520751,92.05081367,48.87571945,2704.826389,25.29211675,50.8036432,3333.556021,22.94096769,66.67174137,-0.933103535,273.1467827,102.4639903,92.34160566,32.17436887,14.85907273,18.77329128,5.9415251,16.50504176,4.073765298,32.53598322,21.7332396,12.85957931,0.856155578,15.71175872,5.400470903,6.56228643,3.289159974,0.011583803,0.571565138,0.190213022,53.73006821,44.75555407,62.91092929,53.19251139,26.98943002,60.45312356,25.53098294,37.21634983,46.44365062,35.96728102,13.78334366
2/8/2016 15:00,0.274234412,3645.749376,4464.987396,9.254509308,32.19942618,47.90013027,2800.781241,64.99702876,122.8996048,0.210550824,92.05599477,49.73788912,2705.159741,25.23663569,49.72291587,3333.108198,22.88345775,66.67879243,0.152590413,272.8485717,102.4279386,92.41128364,31.87256924,14.80716926,19.17822444,6.085069785,16.25101672,4.078558802,33.04993442,21.68934152,13.74534404,0.91624952,15.77048201,5.442615585,6.622479487,3.200193767,0.001576642,0.564282557,0.194495337,53.43475758,44.10554688,62.93375744,53.17369987,26.87702249,60.57291507,25.80485767,37.22483309,46.48494604,36.10016481,12.37573365
2/8/2016 16:00,0.281044552,3652.560341,4394.341683,9.194050062,32.67459382,47.56820214,2799.620746,65.16574537,122.8967638,0.215288236,92.00896145,50.39973012,2704.528686,25.40594299,50.02584456,3332.040554,22.90951225,66.68429504,1.006767363,272.7177642,102.4602352,92.26391822,32.47048859,14.74564478,18.86961043,5.877134174,16.1797888,4.071049272,32.7291804,21.71108309,13.1569186,1.001509569,15.89835059,5.379956367,6.697832099,3.230242986,0.001576642,0.564282557,0.194495337,53.43475758,44.10554688,62.9515452,53.09510057,27.52150545,60.41548633,26.0539385,37.23386753,46.426412,36.07466616,12.22792046
2/8/2016 17:00,0.277566299,3669.280293,4420.759458,9.305519756,32.312485,47.95078826,2800.06119,64.85174204,122.8797415,0.211369654,92.03546313,48.35898103,2704.005241,25.3520217,48.56569347,3331.602997,23.07136343,66.69410929,-0.273751193,272.9519707,102.448859,92.38224789,32.46029395,14.91492011,18.74706574,5.901243075,16.4542691,4.026125871,32.88075154,21.77514125,13.44985859,0.79298493,16.00428591,5.39582693,6.743923219,3.203861093,0.001576642,0.564282557,0.194495337,53.43475758,44.10554688,62.98700021,53.11254249,27.12673186,60.48432026,25.70087803,37.20668699,46.46867148,35.93465468,13.1310888
2/8/2016 18:00,0.272116648,3675.89726,4432.952436,9.228581767,32.78742583,47.68007715,2799.213538,64.92016378,122.9120436,0.208893115,92.07669025,49.84913426,2704.489553,25.11769529,50.7505254,3331.735661,22.8252169,66.67601609,-1.062468302,273.3235657,102.4664876,92.50784856,31.80911432,14.88714433,18.8346927,5.881514131,16.71971334,4.104907231,32.58847434,21.71964894,13.53620641,0.863951614,16.06984002,5.411679157,6.755189922,3.32434731,0.023837757,0.564072829,0.195658837,53.15114697,44.59236292,62.99127126,53.05606996,26.76511526,60.50601959,25.39456718,37.22374138,46.44563839,36.01413496,11.50150676
2/8/2016 19:00,0.275847942,3650.930419,4407.709218,9.257160664,32.66916128,47.59958583,2799.645027,65.28697879,122.9156594,0.206162542,92.0524036,48.84978496,2704.347001,25.30348974,50.28793881,3331.623117,22.96121857,66.68116239,0.227526373,273.4635423,102.4458415,92.46814111,32.96208435,14.85746489,18.7566484,6.228643878,16.53193543,4.078588036,32.64914265,21.76970129,13.107281,0.785925884,16.07203984,5.405338897,6.714692845,3.287501691,0.023837757,0.564072829,0.195658837,53.15114697,44.59236292,63.02131862,53.01392902,27.12068719,60.58425716,25.23003866,37.23848468,46.43722934,35.93215119,13.49967589
2/8/2016 20:00,0.268948589,3649.129153,4430.31175,9.269971036,32.67532547,47.85590752,2799.488837,64.47044097,122.8937055,0.203473917,92.0108368,50.62014909,2703.08308,25.334731,47.98922001,3331.183959,22.8925791,66.69691245,0.163906289,273.3406438,102.4521108,92.27946876,32.01955987,14.89016626,18.86395967,6.154105209,16.09593947,4.028107499,32.78701751,21.75071607,13.10814334,0.884270295,16.1963604,5.396742001,6.688827802,3.22133135,0.01631255,0.566596239,0.195136568,53.88548976,44.52840376,63.0511132,52.98189755,26.41777503,60.48995455,25.07029684,37.21144649,46.42295222,36.0899193,11.47555798
2/8/2016 21:00,0.272103463,3647.870527,4449.484464,9.209452673,32.43892052,47.44561912,2799.298923,64.4070212,122.904635,0.19632929,91.98279856,49.37492619,2703.262581,25.31353303,49.64060911,3330.539161,22.93296489,66.68531433,-0.147638903,273.1812445,102.4572533,92.35055805,31.80373344,14.91400392,18.93014579,5.928120771,16.36068149,4.065186381,33.10994714,21.71279126,12.87148633,0.943915439,16.08228975,5.393591224,6.646684299,3.229339413,0.01631255,0.566596239,0.195136568,53.88548976,44.52840376,63.00361114,53.08282572,26.79231853,60.60376796,24.58549218,37.22836433,46.45011188,35.94396747,13.06296381
2/8/2016 22:00,0.276564318,3665.334195,4446.388738,9.186678522,32.16904597,47.7796812,2799.902645,64.96086261,122.9119139,0.202550372,92.02190485,49.5662506,2703.42079,25.33818884,50.40045273,3331.795889,22.97926654,66.69423153,0.294345058,272.7376883,102.453319,92.22229326,32.08085095,14.93112797,18.940354,5.842518891,17.20398112,4.043446962,32.46682372,21.85771492,13.40195342,0.905127887,16.20910215,5.432014597,6.693938943,3.235267125,0.01631255,0.566596239,0.195136568,53.88548976,44.52840376,62.96883228,53.1265262,27.26428052,60.57498768,24.64775921,37.21911561,46.45915118,36.05127438,13.23667401
